Accounts,BS_Level,Botness,Entity,EntityID,Last_Seen,MediaLink,Trendiness,Tweets,Type
10,0.681,2.5,https://twitter.com/mclima9/status/1227382188460646401/photo/1,425,"Wed, 12 Feb 2020 03:53:47 GMT",http://pbs.twimg.com/media/EQiJl2oXUAI4g-C.jpg,1900,19,media
5,0.617,1.8,#furo,502,"Wed, 12 Feb 2020 03:51:15 GMT",,2000,20,hashtags
7,0.616,1.6,@melgesvoltou,504,"Wed, 12 Feb 2020 03:51:15 GMT",,3200,32,user_mentions
7,0.605,2.0,https://twitter.com/portimeu_br/status/1227391392235868161/photo/1,3544,"Wed, 12 Feb 2020 03:48:31 GMT",http://pbs.twimg.com/media/EQiR9m6WAAAheCu.jpg,1300,13,media
27,0.598,1.6,@mclima9,423,"Wed, 12 Feb 2020 03:55:46 GMT",,1150,49,user_mentions
4,0.590,1.7,#juntoscomweintraub,500,"Wed, 12 Feb 2020 03:51:15 GMT",,1900,19,hashtags
5,0.584,1.7,#globolixo,501,"Wed, 12 Feb 2020 03:51:15 GMT",,2000,20,hashtags
34,0.583,1.6,@portimeu_br,1250,"Wed, 12 Feb 2020 03:53:31 GMT",,850,56,user_mentions
18,0.580,1.5,#folhalixo,503,"Wed, 12 Feb 2020 03:53:59 GMT",,4400,44,hashtags
5,0.562,2.2,@daykercardoso,7226,"Wed, 12 Feb 2020 03:55:46 GMT",http://pbs.twimg.com/media/EQi-SxuWsAAVzm-.jpg,900,9,user_mentions
3,0.474,1.5,#fodadesp,3679,"Wed, 12 Feb 2020 03:47:42 GMT",,1200,12,hashtags
3,0.467,1.4,@katiabrigitte,2526,"Wed, 12 Feb 2020 03:47:42 GMT",,1400,14,user_mentions
7,0.466,1.4,@mjmacul_lima,1677,"Wed, 12 Feb 2020 03:56:02 GMT",,1500,15,user_mentions
4,0.421,1.7,@karlinha_raiz38,1560,"Wed, 12 Feb 2020 03:52:29 GMT",http://pbs.twimg.com/media/EQi-dQyWAAE-iDI.jpg,700,7,user_mentions
34,0.418,1.1,@flamantov,131,"Wed, 12 Feb 2020 03:55:15 GMT",,4700,47,user_mentions
3,0.414,2.2,@rosanavasi,8615,"Wed, 12 Feb 2020 03:50:34 GMT",,500,5,user_mentions
5,0.401,1.5,@mafinha_veron,557,"Wed, 12 Feb 2020 03:48:47 GMT",,800,8,user_mentions
